LineNo,Group,Stage,Cowcode,CowGroup,cowidNo,birthday,parity,calving_date,daysfrmcalving,AItimes,firstAI_date,fstAIdaysfrmcalving,lastAI_date,daysfrmlstAI,expDateofnextCalving,opendays,base_date
116,2,AI待ち 未授精,452,1.①群,0862531780,2019/8/6,1,2022/1/1,71,0,,,,,,71,2022/3/13
121,2,AI待ち 未授精,348,1.①群,0863829329,2018/1/12,3,2022/1/21,51,0,,,,,,51,2022/3/13
122,2,AI待ち 未授精,454,1.①群,0862532183,2019/12/9,1,2022/1/21,51,0,,,,,,51,2022/3/13
80,3,AI待ち 授精済,329,1.①群,0863829220,2017/11/28,3,2021/10/17,147,2,2021/12/16,60,2022/1/9,63,,147,2022/3/13
98,3,AI待ち 授精済,219,1.①群,0862924452,2015/6/21,4,2021/12/1,102,1,2022/1/27,57,2022/1/27,45,,102,2022/3/13
100,3,AI待ち 授精済,275,1.①群,0865227895,2016/12/17,4,2021/12/6,97,1,2022/2/3,59,2022/2/3,38,,97,2022/3/13
103,3,AI待ち 授精済,278,1.①群,0865227956,2017/1/16,4,2021/12/10,93,1,2022/2/3,55,2022/2/3,38,,93,2022/3/13
20,4,妊娠鑑定予定,352,3.③群,0867330135,2018/6/23,2,2021/5/19,298,4,2021/7/22,64,2021/11/11,122,2022/8/18,298,2022/3/13
44,4,妊娠鑑定予定,210,1.①群,0863125728,2015/9/30,5,2021/8/11,214,4,2021/10/6,56,2022/3/13,0,,214,2022/3/13
47,4,妊娠鑑定予定,253,1.①群,0865227062,2016/7/23,3,2021/8/15,210,4,2021/10/14,60,2022/2/24,17,,210,2022/3/13
54,4,妊娠鑑定予定,363,1.①群,0867330180,2018/7/24,2,2021/8/24,201,5,2021/10/21,58,2022/3/10,3,,201,2022/3/13
55,4,妊娠鑑定予定,243,1.①群,0863125704,2015/9/27,4,2021/8/26,199,3,2021/11/2,68,2022/3/3,10,,199,2022/3/13
56,4,妊娠鑑定予定,205,1.①群,0863125544,2015/7/16,4,2021/8/28,197,3,2021/11/11,75,2022/3/10,3,,197,2022/3/13
62,4,妊娠鑑定予定,325,1.①群,0864428750,2017/8/20,3,2021/9/5,189,5,2021/11/4,60,2022/3/7,6,,189,2022/3/13
67,4,妊娠鑑定予定,377,1.①群,0866730752,2018/12/1,2,2021/9/18,176,4,2021/11/17,60,2022/2/24,17,,176,2022/3/13
77,4,妊娠鑑定予定,378,1.①群,0866730745,2018/11/30,2,2021/10/14,150,4,2021/12/9,56,2022/2/17,24,,150,2022/3/13
83,4,妊娠鑑定予定,440,1.①群,0862532114,2019/10/25,1,2021/10/24,140,3,2021/12/23,60,2022/3/5,8,,140,2022/3/13
85,4,妊娠鑑定予定,442,1.①群,0862532107,2019/10/16,1,2021/10/29,135,3,2021/12/22,54,2022/3/7,6,,135,2022/3/13
86,4,妊娠鑑定予定,376,1.①群,0866730707,2018/11/7,2,2021/10/31,133,4,2021/12/22,52,2022/2/24,17,,133,2022/3/13
90,4,妊娠鑑定予定,381,1.①群,0866730578,2018/9/14,2,2021/11/9,124,2,2022/1/6,58,2022/2/17,24,,124,2022/3/13
92,4,妊娠鑑定予定,382,1.①群,0866730653,2018/10/22,2,2021/11/12,121,2,2022/1/13,62,2022/2/24,17,,121,2022/3/13
93,4,妊娠鑑定予定,447,1.①群,0862531926,2019/9/7,1,2021/11/13,120,2,2022/1/6,54,2022/2/24,17,,120,2022/3/13
96,4,妊娠鑑定予定,337,1.①群,0863829213,2017/11/24,3,2021/11/30,103,2,2022/1/27,58,2022/3/10,3,,103,2022/3/13
102,4,妊娠鑑定予定,242,1.①群,0865226683,2016/6/15,4,2021/12/10,93,1,2022/2/3,55,2022/2/3,38,,93,2022/3/13
104,4,妊娠鑑定予定,387,1.①群,0866730813,2019/1/3,2,2021/12/10,93,1,2022/2/10,62,2022/2/10,31,,93,2022/3/13
105,4,妊娠鑑定予定,388,1.①群,0866730820,2019/1/15,2,2021/12/11,92,1,2022/2/10,61,2022/2/10,31,,92,2022/3/13
107,4,妊娠鑑定予定,314,1.①群,0864428798,2017/9/14,3,2021/12/13,90,1,2022/2/10,59,2022/2/10,31,,90,2022/3/13
108,4,妊娠鑑定予定,386,1.①群,0866730875,2019/2/26,2,2021/12/15,88,1,2022/2/10,57,2022/2/10,31,,88,2022/3/13
109,4,妊娠鑑定予定,384,1.①群,0866730677,2018/11/3,2,2021/12/16,87,1,2022/2/10,56,2022/2/10,31,,87,2022/3/13
110,4,妊娠鑑定予定,450,1.①群,0869432578,2020/1/31,1,2021/12/16,87,1,2022/2/10,56,2022/2/10,31,,87,2022/3/13
111,4,妊娠鑑定予定,385,1.①群,0866730585,2018/9/16,2,2021/12/17,86,1,2022/2/17,62,2022/2/17,24,,86,2022/3/13
112,4,妊娠鑑定予定,451,1.①群,0869432561,2020/1/16,1,2021/12/20,83,1,2022/2/17,59,2022/2/17,24,,83,2022/3/13
113,4,妊娠鑑定予定,285,1.①群,0865227918,2016/12/26,4,2021/12/21,82,3,2022/2/17,58,2022/3/13,0,,82,2022/3/13
114,4,妊娠鑑定予定,389,1.①群,0866730806,2018/12/30,2,2021/12/28,75,1,2022/3/11,73,2022/3/11,2,,75,2022/3/13
115,4,妊娠鑑定予定,332,1.①群,0863829251,2017/12/5,3,2022/1/1,71,2,2022/3/2,60,2022/3/3,10,,71,2022/3/13
117,4,妊娠鑑定予定,224,1.①群,0863125339,2015/11/14,5,2022/1/3,69,1,2022/3/10,66,2022/3/10,3,,69,2022/3/13
118,4,妊娠鑑定予定,391,1.①群,1565144017,2018/12/10,2,2022/1/6,66,1,2022/3/3,56,2022/3/3,10,,66,2022/3/13
119,4,妊娠鑑定予定,393,1.①群,0866731230,2019/3/30,2,2022/1/11,61,1,2022/3/10,58,2022/3/10,3,,61,2022/3/13
120,4,妊娠鑑定予定,453,1.①群,0862531964,2019/9/27,1,2022/1/14,58,1,2022/3/10,55,2022/3/10,3,,58,2022/3/13
8,5,妊娠鑑定+,404,3.③群,0866731261,2019/4/14,1,2021/3/11,367,4,2021/5/13,63,2021/10/7,157,2022/7/14,210,2022/3/13
9,5,妊娠鑑定+,244,3.③群,0863126244,2016/1/16,4,2021/3/19,359,5,2021/5/13,55,2021/10/27,137,2022/8/3,222,2022/3/13
11,5,妊娠鑑定+,410,3.③群,0866730844,2019/1/17,1,2021/4/6,341,2,2021/6/3,58,2021/9/17,177,2022/6/24,164,2022/3/13
15,5,妊娠鑑定+,412,3.③群,0866731254,2019/4/11,1,2021/4/28,319,4,2021/6/14,47,2021/10/19,145,2022/7/26,174,2022/3/13
18,5,妊娠鑑定+,350,3.③群,0863829398,2018/3/1,2,2021/4/29,318,6,2021/6/24,56,2021/11/11,122,2022/8/18,196,2022/3/13
22,5,妊娠鑑定+,416,3.③群,0862531728,2019/7/10,1,2021/5/30,287,2,2021/7/29,60,2021/8/18,207,2022/5/25,80,2022/3/13
23,5,妊娠鑑定+,417,3.③群,0862531797,2019/8/6,1,2021/6/8,278,4,2021/8/5,58,2021/9/16,178,2022/6/23,100,2022/3/13
24,5,妊娠鑑定+,419,3.③群,0862531759,2019/8/1,1,2021/6/16,270,3,2021/8/19,64,2021/9/10,184,2022/6/17,86,2022/3/13
26,5,妊娠鑑定+,368,3.③群,0866730516,2018/8/9,2,2021/7/6,250,1,2021/9/2,58,2021/9/2,192,2022/6/9,58,2022/3/13
29,5,妊娠鑑定+,365,3.③群,0867330166,2018/7/12,2,2021/7/14,242,4,2021/9/9,57,2021/11/5,128,2022/8/12,114,2022/3/13
30,5,妊娠鑑定+,186,1.①群,0862924407,2015/4/14,5,2021/7/18,238,3,2021/9/16,60,2021/11/28,105,2022/9/4,133,2022/3/13
31,5,妊娠鑑定+,421,3.③群,0866731391,2019/6/26,1,2021/7/20,236,2,2021/9/23,65,2021/11/4,129,2022/8/11,107,2022/3/13
32,5,妊娠鑑定+,271,3.③群,0865227871,2016/12/9,4,2021/7/21,235,1,2021/9/16,57,2021/9/16,178,2022/6/23,57,2022/3/13
33,5,妊娠鑑定+,422,3.③群,0862531766,2019/8/3,1,2021/7/23,233,2,2021/9/16,55,2021/10/5,159,2022/7/12,74,2022/3/13
34,5,妊娠鑑定+,367,3.③群,0866730691,2018/11/3,2,2021/7/24,232,1,2021/9/16,54,2021/9/16,178,2022/6/23,54,2022/3/13
35,5,妊娠鑑定+,366,3.③群,0863829480,2018/6/8,2,2021/7/28,228,1,2021/9/23,57,2021/9/23,171,2022/6/30,57,2022/3/13
36,5,妊娠鑑定+,423,3.③群,0862531919,2019/9/5,1,2021/7/29,227,1,2021/9/23,56,2021/9/23,171,2022/6/30,56,2022/3/13
38,5,妊娠鑑定+,364,3.③群,0867330197,2018/7/26,2,2021/7/29,227,1,2021/9/30,63,2021/9/30,164,2022/7/7,63,2022/3/13
39,5,妊娠鑑定+,424,3.③群,0862531841,2019/8/19,1,2021/7/30,226,2,2021/9/23,55,2021/10/15,149,2022/7/22,77,2022/3/13
40,5,妊娠鑑定+,425,3.③群,0862531865,2019/8/24,1,2021/8/3,222,2,2021/10/7,65,2021/10/27,137,2022/8/3,85,2022/3/13
41,5,妊娠鑑定+,360,3.③群,0867330173,2018/7/15,2,2021/8/6,219,2,2021/9/30,55,2021/11/11,122,2022/8/18,97,2022/3/13
42,5,妊娠鑑定+,426,3.③群,0862531902,2019/9/1,1,2021/8/7,218,3,2021/9/30,54,2021/11/9,124,2022/8/16,94,2022/3/13
43,5,妊娠鑑定+,220,3.③群,0863125780,2015/10/26,5,2021/8/10,215,1,2021/10/7,58,2021/10/7,157,2022/7/14,58,2022/3/13
45,5,妊娠鑑定+,257,1.①群,0865227048,2016/7/21,4,2021/8/12,213,3,2021/10/14,63,2021/12/2,101,2022/9/8,112,2022/3/13
46,5,妊娠鑑定+,312,3.③群,0864428729,2017/8/12,3,2021/8/14,211,1,2021/10/14,61,2021/10/14,150,2022/7/21,61,2022/3/13
49,5,妊娠鑑定+,428,3.③群,0862531889,2019/8/28,1,2021/8/19,206,1,2021/10/13,55,2021/10/13,151,2022/7/20,55,2022/3/13
51,5,妊娠鑑定+,429,1.①群,1565144086,2019/9/21,1,2021/8/23,202,3,2021/10/21,59,2021/12/24,79,2022/9/30,123,2022/3/13
52,5,妊娠鑑定+,430,3.③群,0862531995,2019/10/9,1,2021/8/24,201,1,2021/10/21,58,2021/10/21,143,2022/7/28,58,2022/3/13
53,5,妊娠鑑定+,369,3.③群,0866730509,2018/8/2,2,2021/8/24,201,2,2021/10/28,65,2021/11/17,116,2022/8/24,85,2022/3/13
57,5,妊娠鑑定+,249,3.③群,0865227093,2016/8/6,4,2021/8/29,196,1,2021/10/28,60,2021/10/28,136,2022/8/4,60,2022/3/13
58,5,妊娠鑑定+,431,1.①群,0862531773,2019/8/5,1,2021/8/29,196,2,2021/10/28,60,2021/12/23,80,2022/9/29,116,2022/3/13
59,5,妊娠鑑定+,372,3.③群,0866730769,2018/12/13,2,2021/8/31,194,1,2021/10/28,58,2021/10/28,136,2022/8/4,58,2022/3/13
60,5,妊娠鑑定+,334,3.③群,0864428866,2017/10/22,3,2021/9/5,189,1,2021/11/11,67,2021/11/11,122,2022/8/18,67,2022/3/13
63,5,妊娠鑑定+,432,1.①群,0862531872,2019/8/26,1,2021/9/9,185,2,2021/11/4,56,2021/12/30,73,2022/10/6,112,2022/3/13
64,5,妊娠鑑定+,375,1.①群,0866730738,2018/11/24,2,2021/9/10,184,2,2021/11/4,55,2021/12/16,87,2022/9/22,97,2022/3/13
65,5,妊娠鑑定+,433,3.③群,0862531971,2019/9/30,1,2021/9/14,180,1,2021/11/11,58,2021/11/11,122,2022/8/18,58,2022/3/13
66,5,妊娠鑑定+,374,3.③群,0866730547,2018/9/5,2,2021/9/18,176,1,2021/11/18,61,2021/11/18,115,2022/8/25,61,2022/3/13
68,5,妊娠鑑定+,298,3.③群,0864428132,2017/5/12,3,2021/9/21,173,1,2021/11/25,65,2021/11/25,108,2022/9/1,65,2022/3/13
70,5,妊娠鑑定+,299,1.①群,0864428163,2017/5/31,3,2021/9/28,166,1,2021/12/2,65,2021/12/2,101,2022/9/8,65,2022/3/13
71,5,妊娠鑑定+,434,1.①群,0862531711,2019/7/8,1,2021/9/28,166,5,2021/11/25,58,2022/1/29,43,2022/11/5,123,2022/3/13
72,5,妊娠鑑定+,435,3.③群,0862531735,2019/7/16,1,2021/9/29,165,1,2021/11/25,57,2021/11/25,108,2022/9/1,57,2022/3/13
73,5,妊娠鑑定+,436,1.①群,0862531940,2019/9/17,1,2021/10/7,157,1,2021/12/2,56,2021/12/2,101,2022/9/8,56,2022/3/13
74,5,妊娠鑑定+,437,1.①群,0862531834,2019/8/18,1,2021/10/8,156,2,2021/12/2,55,2021/12/25,78,2022/10/1,78,2022/3/13
75,5,妊娠鑑定+,438,1.①群,0862531858,2019/8/22,1,2021/10/10,154,1,2021/12/9,60,2021/12/9,94,2022/9/15,60,2022/3/13
76,5,妊娠鑑定+,439,1.①群,0862531988,2019/10/4,1,2021/10/11,153,1,2021/12/9,59,2021/12/9,94,2022/9/15,59,2022/3/13
78,5,妊娠鑑定+,336,1.①群,0863829237,2017/12/3,3,2021/10/16,148,1,2021/12/9,54,2021/12/9,94,2022/9/15,54,2022/3/13
79,5,妊娠鑑定+,380,3.③群,0866730646,2018/10/13,2,2021/10/17,147,1,2021/12/16,60,2021/12/16,87,2022/9/22,60,2022/3/13
81,5,妊娠鑑定+,237,1.①群,0863126251,2016/1/22,4,2021/10/17,147,2,2021/12/16,60,2022/1/27,45,2022/11/3,102,2022/3/13
84,5,妊娠鑑定+,441,1.①群,0869432516,2019/12/18,1,2021/10/28,136,2,2021/12/28,61,2022/1/21,51,2022/10/28,85,2022/3/13
87,5,妊娠鑑定+,443,1.①群,0862532169,2019/12/2,1,2021/11/1,132,1,2021/12/30,59,2021/12/30,73,2022/10/6,59,2022/3/13
88,5,妊娠鑑定+,444,1.①群,0869432523,2019/12/20,1,2021/11/6,127,1,2021/12/30,54,2021/12/30,73,2022/10/6,54,2022/3/13
89,5,妊娠鑑定+,317,1.①群,0864428200,2017/6/27,3,2021/11/8,125,1,2022/1/6,59,2022/1/6,66,2022/10/13,59,2022/3/13
91,5,妊娠鑑定+,446,1.①群,0869432530,2019/12/21,1,2021/11/10,123,2,2022/1/6,57,2022/1/29,43,2022/11/5,80,2022/3/13
94,5,妊娠鑑定+,448,1.①群,0862531827,2019/8/18,1,2021/11/24,109,1,2022/1/27,64,2022/1/27,45,2022/11/3,64,2022/3/13
95,5,妊娠鑑定+,449,1.①群,0869432509,2019/12/12,1,2021/11/29,104,1,2022/1/27,59,2022/1/27,45,2022/11/3,59,2022/3/13
97,5,妊娠鑑定+,316,1.①群,0864428743,2017/8/17,3,2021/12/1,102,1,2022/1/26,56,2022/1/26,46,2022/11/2,56,2022/3/13
101,5,妊娠鑑定+,313,1.①群,0864428835,2017/10/7,3,2021/12/7,96,1,2022/2/3,58,2022/2/3,38,2022/11/10,58,2022/3/13
5,6,乾乳,284,5.後期,0865228069,2017/3/4,3,2021/2/5,401,4,2021/4/8,62,2021/6/14,272,2022/3/21,129,2022/3/13
6,6,乾乳,400,6.前期,0866730868,2019/2/21,1,2021/3/6,372,3,2021/4/29,54,2021/7/14,242,2022/4/20,130,2022/3/13
7,6,乾乳,401,6.前期,0866731346,2019/6/1,1,2021/3/6,372,4,2021/5/6,61,2021/8/10,215,2022/5/17,157,2022/3/13
10,6,乾乳,407,5.後期,0866731353,2019/6/4,1,2021/3/20,358,2,2021/5/13,54,2021/6/17,269,2022/3/24,89,2022/3/13
12,6,乾乳,346,5.後期,0863829411,2018/4/1,2,2021/4/10,337,1,2021/6/3,54,2021/6/3,283,2022/3/10,54,2022/3/13
13,6,乾乳,309,6.前期,0864428255,2017/7/11,3,2021/4/13,334,3,2021/6/17,65,2021/8/19,206,2022/5/26,128,2022/3/13
14,6,乾乳,411,5.後期,0866730837,2019/1/16,1,2021/4/23,324,1,2021/6/17,55,2021/6/17,269,2022/3/24,55,2022/3/13
16,6,乾乳,413,5.後期,0866731247,2019/4/3,1,2021/4/29,318,1,2021/6/24,56,2021/6/24,262,2022/3/31,56,2022/3/13
17,6,乾乳,414,5.後期,0866731377,2019/6/20,1,2021/4/29,318,1,2021/6/24,56,2021/6/24,262,2022/3/31,56,2022/3/13
19,6,乾乳,356,6.前期,0863829428,2018/4/8,2,2021/5/15,302,1,2021/7/8,54,2021/7/8,248,2022/4/14,54,2022/3/13
21,6,乾乳,415,6.前期,0866731384,2019/6/23,2,2021/5/26,291,1,2021/7/22,57,2021/7/22,234,2022/4/28,57,2022/3/13
25,6,乾乳,420,6.前期,0862531742,2019/7/19,1,2021/6/20,266,3,2021/8/19,60,2021/9/30,164,2022/7/7,102,2022/3/13
28,6,乾乳,295,6.前期,0864428149,2017/5/16,3,2021/7/12,244,3,2021/9/9,59,2021/12/10,93,2022/9/16,151,2022/3/13
37,6,乾乳,330,6.前期,0863829268,2017/12/11,3,2021/7/29,227,1,2021/9/23,56,2021/9/23,171,2022/6/30,56,2022/3/13
